name,gender,birth_date,country,discipline
ALEKSIC Milan,Male,1986-05-13,Serbia,Water Polo
ALEKSIIVA Maryna,Female,2001-05-29,Ukraine,Artistic Swimming
ALEKSIIVA Vladyslava,Female,2001-05-29,Ukraine,Artistic Swimming
ALEMANNO Maria Grazia,Female,1990-09-02,Italy,Weightlifting
ALEMU Habitam,Female,1997-07-09,Ethiopia,Athletics
ALESSIO Simone,Male,2000-04-14,Italy,Taekwondo
ALEXANDER Kayla,Female,1991-01-05,Canada,Basketball
ALEXANDRI Anna-Maria,Female,1997-09-15,Austria,Artistic Swimming
ALEXANDRI Eirini,Female,1997-09-15,Austria,Artistic Swimming
ALEXIUSSON Agnes,Female,1996-04-19,Sweden,Boxing
ALEXUC CIURARIU Alin,Male,1990-02-03,Romania,Wrestling
ALFADHEL Abdulrahman,Male,1994-07-09,Kuwait,Rowing
ALFARAJ Salman,Male,1989-08-01,Saudi Arabia,Football
ALFONSO DOMINGUEZ Loren Berto,Male,1995-07-28,Azerbaijan,Boxing
ALGHANNAM Khalid,Male,2000-11-08,Saudi Arabia,Football
ALGOTSSON OSTHOLT Sara,Female,1974-12-08,Sweden,Equestrian
ALHAMDDAN Abdullah,Male,1999-09-13,Saudi Arabia,Football
ALHAMMADI Mohamed,Male,1991-08-02,United Arab Emirates,Athletics
ALHASSAN Ali,Male,1997-03-04,Saudi Arabia,Football
ALHASSANE Ismael,Male,1994-07-14,Niger,Judo
ALHINDAWI Odai Riyad Adel,Male,1991-07-28,Jordan,Boxing
ALHUMAYD Mahmoud Mohammed S,Male,1993-09-05,Saudi Arabia,Weightlifting
ALI Ali Merza,Male,1988-07-07,Bahrain,Handball
ALI Hasan,Male,1998-06-18,Bahrain,Handball
ALI Laila,Female,2000-08-22,Egypt,Artistic Swimming
ALI Mohamed,Male,1987-04-17,Bahrain,Handball
ALI Mohamed,Male,1989-08-12,Bahrain,Handball
ALI MOHAMED Souhra,Female,1994-11-23,Djibouti,Athletics
ALI Ramla Said Ahmed,Female,1989-09-16,Somalia,Boxing
ALI Selin,Female,2002-02-14,Bulgaria,Shooting
ALI ZADA Masomah,Female,1996-03-11,EOR,Cycling Road
ALIEV Mourad,Male,1995-07-31,France,Boxing
ALIKAJ Ahmad,Male,1991-06-05,EOR,Judo
ALIMURADOVA Laman,Female,2004-11-29,Azerbaijan,Rhythmic Gymnastics
ALINE,Female,1989-04-15,Brazil,Football
ALIPOV Alexey,Male,1975-08-07,ROC,Shooting
ALIREZA Husein,Male,1993-08-27,Saudi Arabia,Rowing
ALIYEV Haji,Male,1991-04-21,Azerbaijan,Wrestling
ALIYEV Tayfur,Male,1997-01-01,Azerbaijan,Boxing
ALIZADEH Dara,Male,1993-08-27,Bermuda,Rowing
ALIZADEH ZENOORIN Kimia,Female,1998-07-10,EOR,Taekwondo
AL-KAABI Fatimah Abbas Waheeb,Female,2000-04-23,Iraq,Shooting
ALKANA Antonio,Male,1990-04-12,South Africa,Athletics
AL-KANJARI Amur Salim Ramadhan,Male,2000-10-16,Oman,Weightlifting
ALKASBEH Obada Mohammad Mustafa,Male,1994-07-30,Jordan,Boxing
ALKHADRAWI Ali,Male,1997-05-31,Saudi Arabia,Table Tennis
ALKHULAIF Ayman,Male,1997-05-22,Saudi Arabia,Football
ALLEMAND Julie,Female,1996-07-07,Belgium,Basketball
ALLEN Bec,Female,1992-11-06,Australia,Basketball
ALLEN Bertram,Male,1995-08-01,Ireland,Equestrian
ALLEN Devon,Male,1994-12-12,United States of America,Athletics
ALLEN Nathon,Male,1995-10-28,Jamaica,Athletics
ALLEN Nick,Male,1998-10-08,United States of America,Baseball/Softball
ALLICOCK Keevin,Male,1999-06-09,Guyana,Boxing
ALLIKVEE Martin,Male,1995-03-21,Estonia,Swimming
ALLMAN Valarie,Female,1995-02-23,United States of America,Athletics
