medalType,medalDate,athleteName,countryName,disciplineName
Silver Medal,2021-08-03,BURLING Peter,New Zealand,Sailing
Silver Medal,2021-08-03,TUKE Blair,New Zealand,Sailing
Bronze Medal,2021-08-03,HEIL Erik,Germany,Sailing
Bronze Medal,2021-08-03,PLOESSEL Thomas,Germany,Sailing
Gold Medal,2021-08-03,BANTI Caterina,Italy,Sailing
Gold Medal,2021-08-03,TITA Ruggero,Italy,Sailing
Silver Medal,2021-08-03,GIMSON John,Great Britain,Sailing
Silver Medal,2021-08-03,BURNET Anna,Great Britain,Sailing
Bronze Medal,2021-08-03,STUHLEMMER Alica,Germany,Sailing
Bronze Medal,2021-08-03,KOHLHOFF Paul,Germany,Sailing
Gold Medal,2021-08-03,KUNZE Kahena,Brazil,Sailing
Gold Medal,2021-08-03,GRAEL Martine,Brazil,Sailing
Silver Medal,2021-08-03,BEUCKE Susann,Germany,Sailing
Silver Medal,2021-08-03,LUTZ Tina,Germany,Sailing
Bronze Medal,2021-08-03,BEKKERING Annemiek,Netherlands,Sailing
Bronze Medal,2021-08-03,DUETZ Annette,Netherlands,Sailing
Gold Medal,2021-08-03,DJURAEV Akbar,Uzbekistan,Weightlifting
Silver Medal,2021-08-03,MARTIROSYAN Simon,Armenia,Weightlifting
Bronze Medal,2021-08-03,PLESNIEKS Arturs,Latvia,Weightlifting
Gold Medal,2021-08-03,LORINCZ Tamas,Hungary,Wrestling
Silver Medal,2021-08-03,MAKHMUDOV Akzhol,Kyrgyzstan,Wrestling
Bronze Medal,2021-08-03,HUSEYNOV Rafig,Azerbaijan,Wrestling
Bronze Medal,2021-08-03,YABIKU Shohei,Japan,Wrestling
Gold Medal,2021-08-03,EVLOEV Musa,ROC,Wrestling
Silver Medal,2021-08-03,ALEKSANYAN Artur,Armenia,Wrestling
Bronze Medal,2021-08-03,MICHALIK Tadeusz,Poland,Wrestling
Bronze Medal,2021-08-03,SARAVI Mohammadhadi,Islamic Republic of Iran,Wrestling
Gold Medal,2021-08-03,MENSAH STOCK Tamyra Mariama,United States of America,Wrestling
Silver Medal,2021-08-03,OBORUDUDU Blessing,Nigeria,Wrestling
Bronze Medal,2021-08-03,CHERKASOVA Alla,Ukraine,Wrestling
Bronze Medal,2021-08-03,ZHUMANAZAROVA Meerim,Kyrgyzstan,Wrestling
Gold Medal,2021-08-04,KOLESNICHENKO Svetlana,ROC,Artistic Swimming
Gold Medal,2021-08-04,ROMASHINA Svetlana,ROC,Artistic Swimming
Silver Medal,2021-08-04,HUANG Xuechen,People's Republic of China,Artistic Swimming
Silver Medal,2021-08-04,SUN Wenyan,People's Republic of China,Artistic Swimming
Bronze Medal,2021-08-04,SAVCHUK Anastasiya,Ukraine,Artistic Swimming
Bronze Medal,2021-08-04,FIEDINA Marta,Ukraine,Artistic Swimming
Gold Medal,2021-08-04,de GRASSE Andre,Canada,Athletics
Silver Medal,2021-08-04,BEDNAREK Kenneth,United States of America,Athletics
Bronze Medal,2021-08-04,LYLES Noah,United States of America,Athletics
Gold Medal,2021-08-04,KORIR Emmanuel Kipkurui,Kenya,Athletics
Silver Medal,2021-08-04,ROTICH Ferguson Cheruiyot,Kenya,Athletics
Bronze Medal,2021-08-04,DOBEK Patryk,Poland,Athletics
Gold Medal,2021-08-04,WARNER Damian,Canada,Athletics
Silver Medal,2021-08-04,MAYER Kevin,France,Athletics
Bronze Medal,2021-08-04,MOLONEY Ashley,Australia,Athletics
Gold Medal,2021-08-04,NOWICKI Wojciech,Poland,Athletics
Silver Medal,2021-08-04,HENRIKSEN Eivind,Norway,Athletics
Bronze Medal,2021-08-04,FAJDEK Pawel,Poland,Athletics
Gold Medal,2021-08-04,CHEMUTAI Peruth,Uganda,Athletics
Silver Medal,2021-08-04,FRERICHS Courtney,United States of America,Athletics
Bronze Medal,2021-08-04,KIYENG Hyvin,Kenya,Athletics
Gold Medal,2021-08-04,McLAUGHLIN Sydney,United States of America,Athletics
Silver Medal,2021-08-04,MUHAMMAD Dalilah,United States of America,Athletics
Bronze Medal,2021-08-04,BOL Femke,Netherlands,Athletics
Gold Medal,2021-08-04,THIAM Nafissatou,Belgium,Athletics
Silver Medal,2021-08-04,VETTER Anouk,Netherlands,Athletics
Bronze Medal,2021-08-04,OOSTERWEGEL Emma,Netherlands,Athletics
Gold Medal,2021-08-04,LOPEZ Arlen,Cuba,Boxing
Silver Medal,2021-08-04,WHITTAKER Benjamin,Great Britain,Boxing
Bronze Medal,2021-08-04,KUNKABAYEV Kamshybek,Kazakhstan,Boxing
Bronze Medal,2021-08-04,CLARKE Frazer,Great Britain,Boxing
Bronze Medal,2021-08-04,HUANG Hsiao-Wen,Chinese Taipei,Boxing
Bronze Medal,2021-08-04,NAMIKI Tsukimi,Japan,Boxing
Bronze Medal,2021-08-04,BORGOHAIN Lovlina,India,Boxing
Bronze Medal,2021-08-04,JONES Oshae,United States of America,Boxing
Gold Medal,2021-08-04,CONSONNI Simone,Italy,Cycling Track
Gold Medal,2021-08-04,GANNA Filippo,Italy,Cycling Track
Gold Medal,2021-08-04,MILAN Jonathan,Italy,Cycling Track
Gold Medal,2021-08-04,LAMON Francesco,Italy,Cycling Track
Silver Medal,2021-08-04,LARSEN Niklas,Denmark,Cycling Track
Silver Medal,2021-08-04,MADSEN Frederik,Denmark,Cycling Track
Silver Medal,2021-08-04,HANSEN Lasse Norman,Denmark,Cycling Track
Silver Medal,2021-08-04,PEDERSEN Rasmus,Denmark,Cycling Track
Bronze Medal,2021-08-04,O'BRIEN Kelland,Australia,Cycling Track
Bronze Medal,2021-08-04,WELSFORD Sam,Australia,Cycling Track
Bronze Medal,2021-08-04,PLAPP Lucas,Australia,Cycling Track
Bronze Medal,2021-08-04,HOWARD Leigh,Australia,Cycling Track
Bronze Medal,2021-08-04,PORTER Alexander,Australia,Cycling Track
Gold Medal,2021-08-04,MAHER Ben,Great Britain,Equestrian
Silver Medal,2021-08-04,FREDRICSON Peder,Sweden,Equestrian
Bronze Medal,2021-08-04,van der VLEUTEN Maikel,Netherlands,Equestrian
Gold Medal,2021-08-04,CUNHA Ana Marcela,Brazil,Marathon Swimming
Silver Medal,2021-08-04,van ROUWENDAAL Sharon,Netherlands,Marathon Swimming
Bronze Medal,2021-08-04,LEE Kareena,Australia,Marathon Swimming
Gold Medal,2021-08-04,RYAN Will,Australia,Sailing
Gold Medal,2021-08-04,BELCHER Mathew,Australia,Sailing
Silver Medal,2021-08-04,BERGSTROM Fredrik,Sweden,Sailing
Silver Medal,2021-08-04,DAHLBERG Anton,Sweden,Sailing
Bronze Medal,2021-08-04,RODRIGUEZ GARCIA-PAZ Nicolas,Spain,Sailing
Bronze Medal,2021-08-04,XAMMAR Jordi,Spain,Sailing
Gold Medal,2021-08-04,McINTYRE Eilidh,Great Britain,Sailing
Gold Medal,2021-08-04,MILLS Hannah,Great Britain,Sailing
Silver Medal,2021-08-04,SKRZYPULEC Agnieszka,Poland,Sailing
Silver Medal,2021-08-04,OGAR Jolanta,Poland,Sailing
Bronze Medal,2021-08-04,LECOINTRE Camille,France,Sailing
Bronze Medal,2021-08-04,RETORNAZ Aloise,France,Sailing
Gold Medal,2021-08-04,YOSOZUMI Sakura,Japan,Skateboarding
Silver Medal,2021-08-04,HIRAKI Kokona,Japan,Skateboarding
Bronze Medal,2021-08-04,BROWN Sky,Great Britain,Skateboarding
Gold Medal,2021-08-04,TALAKHADZE Lasha,Georgia,Weightlifting
Silver Medal,2021-08-04,DAVOUDI Ali,Islamic Republic of Iran,Weightlifting
Bronze Medal,2021-08-04,ASAAD Man,Syrian Arab Republic,Weightlifting
Gold Medal,2021-08-04,GERAEI Mohammadreza,Islamic Republic of Iran,Wrestling
Silver Medal,2021-08-04,NASIBOV Parviz,Ukraine,Wrestling
Bronze Medal,2021-08-04,ELSAYED Mohamed Ibrahim Elsayed,Egypt,Wrestling
Bronze Medal,2021-08-04,STAEBLER Frank,Germany,Wrestling
Gold Medal,2021-08-04,BELENIUK Zhan,Ukraine,Wrestling
Silver Medal,2021-08-04,LORINCZ Viktor,Hungary,Wrestling
Bronze Medal,2021-08-04,KUDLA Denis Maksymilian,Germany,Wrestling
Bronze Medal,2021-08-04,DATUNASHVILI Zurabi,Serbia,Wrestling
Gold Medal,2021-08-04,KAWAI Yukako,Japan,Wrestling
Silver Medal,2021-08-04,TYNYBEKOVA Aisuluu,Kyrgyzstan,Wrestling
Bronze Medal,2021-08-04,KOLIADENKO Iryna,Ukraine,Wrestling
Bronze Medal,2021-08-04,YUSEIN Taybe Mustafa,Bulgaria,Wrestling
Gold Medal,2021-08-05,PARCHMENT Hansle,Jamaica,Athletics
Silver Medal,2021-08-05,HOLLOWAY Grant,United States of America,Athletics
Bronze Medal,2021-08-05,LEVY Ronald,Jamaica,Athletics
Gold Medal,2021-08-05,STANO Massimo,Italy,Athletics
Silver Medal,2021-08-05,IKEDA Koki,Japan,Athletics
Bronze Medal,2021-08-05,YAMANISHI Toshikazu,Japan,Athletics
Gold Medal,2021-08-05,GARDINER Steven,Bahamas,Athletics
Silver Medal,2021-08-05,ZAMBRANO Anthony Jose,Colombia,Athletics
Bronze Medal,2021-08-05,JAMES Kirani,Grenada,Athletics
Gold Medal,2021-08-05,CROUSER Ryan,United States of America,Athletics
Silver Medal,2021-08-05,KOVACS Joe,United States of America,Athletics
Bronze Medal,2021-08-05,WALSH Tomas,New Zealand,Athletics
Gold Medal,2021-08-05,PICHARDO Pedro,Portugal,Athletics
Silver Medal,2021-08-05,ZHU Yaming,People's Republic of China,Athletics
Bronze Medal,2021-08-05,ZANGO Hugues Fabrice,Burkina Faso,Athletics
Gold Medal,2021-08-05,NAGEOTTE Katie,United States of America,Athletics
Silver Medal,2021-08-05,SIDOROVA Anzhelika,ROC,Athletics
Bronze Medal,2021-08-05,BRADSHAW Holly,Great Britain,Athletics
Gold Medal,2021-08-05,BATYRGAZIEV Albert,ROC,Boxing
Silver Medal,2021-08-05,RAGAN Duke,United States of America,Boxing
Bronze Medal,2021-08-05,BIBOSSINOV Saken,Kazakhstan,Boxing
Bronze Medal,2021-08-05,TANAKA Ryomei,Japan,Boxing
Bronze Medal,2021-08-05,MARCIAL Eumir,Philippines,Boxing
Bronze Medal,2021-08-05,BAKSHI Gleb,ROC,Boxing
Bronze Medal,2021-08-05,SEESONDEE Sudaporn,Thailand,Boxing
Bronze Medal,2021-08-05,POTKONEN Mira Marjut Johanna,Finland,Boxing
Gold Medal,2021-08-05,van der WESTHUYZEN Jean,Australia,Canoe Sprint
Gold Medal,2021-08-05,GREEN Thomas,Australia,Canoe Sprint
Silver Medal,2021-08-05,SCHOPF Jacob,Germany,Canoe Sprint
Silver Medal,2021-08-05,HOFF Max,Germany,Canoe Sprint
Bronze Medal,2021-08-05,DOSTAL Josef,Czech Republic,Canoe Sprint
Bronze Medal,2021-08-05,SLOUF Radek,Czech Republic,Canoe Sprint
Gold Medal,2021-08-05,TOTKA Sandor,Hungary,Canoe Sprint
Silver Medal,2021-08-05,RIZZA Manfredi,Italy,Canoe Sprint
Bronze Medal,2021-08-05,HEATH Liam,Great Britain,Canoe Sprint
Gold Medal,2021-08-05,HARRISON Nevin,United States of America,Canoe Sprint
Silver Medal,2021-08-05,VINCENT-LAPOINTE Laurence,Canada,Canoe Sprint
Bronze Medal,2021-08-05,LUZAN Liudmyla,Ukraine,Canoe Sprint
Gold Medal,2021-08-05,CARRINGTON Lisa,New Zealand,Canoe Sprint
Silver Medal,2021-08-05,CSIPES Tamara,Hungary,Canoe Sprint
Bronze Medal,2021-08-05,JORGENSEN Emma Aastrand,Denmark,Canoe Sprint
Gold Medal,2021-08-05,WALLS Matthew,Great Britain,Cycling Track
Silver Medal,2021-08-05,STEWART Campbell,New Zealand,Cycling Track
Bronze Medal,2021-08-05,VIVIANI Elia,Italy,Cycling Track
Gold Medal,2021-08-05,BRASPENNINCX Shanne,Netherlands,Cycling Track
Silver Medal,2021-08-05,ANDREWS Ellesse,New Zealand,Cycling Track
Bronze Medal,2021-08-05,GENEST Lauriane,Canada,Cycling Track
Gold Medal,2021-08-05,QUAN Hongchan,People's Republic of China,Diving
Silver Medal,2021-08-05,CHEN Yuxi,People's Republic of China,Diving
Bronze Medal,2021-08-05,WU Melissa,Australia,Diving
Gold Medal,2021-08-05,BOCCARD Gauthier,Belgium,Hockey
Gold Medal,2021-08-05,de KERPEL Nicolas,Belgium,Hockey
Gold Medal,2021-08-05,de SLOOVER Arthur Anne-Marie Thierr,Belgium,Hockey
Gold Medal,2021-08-05,HENDRICKX Alexander Robby P,Belgium,Hockey
Gold Medal,2021-08-05,LUYPAERT Loick Fanny A,Belgium,Hockey
Gold Medal,2021-08-05,van AUBEL Florent,Belgium,Hockey
Gold Medal,2021-08-05,VANASCH Vincent,Belgium,Hockey
Gold Medal,2021-08-05,BOON Tom Alain,Belgium,Hockey
Gold Medal,2021-08-05,BRIELS Thomas,Belgium,Hockey
Gold Medal,2021-08-05,CHARLIER Cedric Daniel Andre,Belgium,Hockey
Gold Medal,2021-08-05,DENAYER Felix Veronique B.,Belgium,Hockey
Gold Medal,2021-08-05,DOCKIER Sebastien,Belgium,Hockey
Gold Medal,2021-08-05,GOUGNARD Simon Pierre F,Belgium,Hockey
Gold Medal,2021-08-05,KINA Antoine Sylvain T,Belgium,Hockey
Gold Medal,2021-08-05,MEURMANS Augustin Jean J,Belgium,Hockey
Gold Medal,2021-08-05,WEGNEZ Victor Nicky B,Belgium,Hockey
Gold Medal,2021-08-05,van DOREN Arthur,Belgium,Hockey
Gold Medal,2021-08-05,DOHMEN John-John Dominique M,Belgium,Hockey
Silver Medal,2021-08-05,CHARTER Andrew Lewis,Australia,Hockey
Silver Medal,2021-08-05,MITTON Trent Grant,Australia,Hockey
Silver Medal,2021-08-05,OCKENDEN Edward Clive,Australia,Hockey
Silver Medal,2021-08-05,WHETTON Jacob Thomas,Australia,Hockey
Silver Medal,2021-08-05,ZALEWSKI Aran,Australia,Hockey
Silver Medal,2021-08-05,BEALE Daniel James,Australia,Hockey
Silver Medal,2021-08-05,WICKHAM Tom Joseph,Australia,Hockey
Silver Medal,2021-08-05,DAWSON Matthew,Australia,Hockey
Silver Medal,2021-08-05,BRAND Tim,Australia,Hockey
Silver Medal,2021-08-05,GOVERS Blake,Australia,Hockey
Silver Medal,2021-08-05,OGILVIE Flynn Andrew,Australia,Hockey
Silver Medal,2021-08-05,CRAIG Thomas William,Australia,Hockey
Silver Medal,2021-08-05,HOWARD Tim,Australia,Hockey
Silver Medal,2021-08-05,BELTZ Joshua,Australia,Hockey
Silver Medal,2021-08-05,HAYWARD Jeremy Thomas,Australia,Hockey
Silver Medal,2021-08-05,SHARP Lachlan Thomas,Australia,Hockey
Silver Medal,2021-08-05,SIMMONDS Joshua,Australia,Hockey
Silver Medal,2021-08-05,MARTIN Dylan,Australia,Hockey
Bronze Medal,2021-08-05,PARATTU RAVEENDRAN Sreejesh,India,Hockey
Bronze Medal,2021-08-05,SINGH Harmanpreet,India,Hockey
Bronze Medal,2021-08-05,LAKRA Birendra,India,Hockey
Bronze Medal,2021-08-05,KUMAR Surender,India,Hockey
Bronze Medal,2021-08-05,ROHIDAS Amit,India,Hockey
Bronze Medal,2021-08-05,KUMAR Varun,India,Hockey
Bronze Medal,2021-08-05,SINGH Rupinder Pal,India,Hockey
Bronze Medal,2021-08-05,SINGH Manpreet,India,Hockey
Bronze Medal,2021-08-05,SUMIT,India,Hockey
Bronze Medal,2021-08-05,SHARMA Nilakanta,India,Hockey
Bronze Medal,2021-08-05,SINGH Hardik,India,Hockey
Bronze Medal,2021-08-05,PRASAD Vivek Sagar,India,Hockey
Bronze Medal,2021-08-05,SINGH Mandeep,India,Hockey
Bronze Medal,2021-08-05,SINGH Shamsher,India,Hockey
Bronze Medal,2021-08-05,UPADHYAY Lalit Kumar,India,Hockey
Bronze Medal,2021-08-05,SINGH Simranjeet,India,Hockey
Bronze Medal,2021-08-05,SINGH Dilpreet,India,Hockey
Bronze Medal,2021-08-05,SINGH Gurjant,India,Hockey
Gold Medal,2021-08-05,da COSTA Steven,France,Karate
Silver Medal,2021-08-05,SAMDAN Eray,Turkey,Karate
Bronze Medal,2021-08-05,ALMASATFA Abdel Rahman,Jordan,Karate
Bronze Medal,2021-08-05,ASSADILOV Darkhan,Kazakhstan,Karate
Gold Medal,2021-08-05,SANCHEZ JAIME Sandra,Spain,Karate
Silver Medal,2021-08-05,SHIMIZU Kiyou,Japan,Karate
Bronze Medal,2021-08-05,LAU Mo Sheung Grace,"Hong Kong, China",Karate
Bronze Medal,2021-08-05,BOTTARO Viviana,Italy,Karate
Gold Medal,2021-08-05,GORANOVA Ivet,Bulgaria,Karate
Silver Medal,2021-08-05,TERLIUGA Anzhelika,Ukraine,Karate
Bronze Medal,2021-08-05,PLANK Bettina,Austria,Karate
Bronze Medal,2021-08-05,WEN Tzuyun,Chinese Taipei,Karate
Gold Medal,2021-08-05,WELLBROCK Florian,Germany,Marathon Swimming
Silver Medal,2021-08-05,RASOVSZKY Kristof,Hungary,Marathon Swimming
Bronze Medal,2021-08-05,PALTRINIERI Gregorio,Italy,Marathon Swimming
Gold Medal,2021-08-05,PALMER Keegan,Australia,Skateboarding
Silver Medal,2021-08-05,BARROS Pedro,Brazil,Skateboarding
Bronze Medal,2021-08-05,JUNEAU Cory,United States of America,Skateboarding
Gold Medal,2021-08-05,GINES LOPEZ Alberto,Spain,Sport Climbing
Silver Medal,2021-08-05,COLEMAN Nathaniel,United States of America,Sport Climbing
Bronze Medal,2021-08-05,SCHUBERT Jakob,Austria,Sport Climbing
Gold Medal,2021-08-05,CHEN Meng,People's Republic of China,Table Tennis
Gold Medal,2021-08-05,SUN Yingsha,People's Republic of China,Table Tennis
Gold Medal,2021-08-05,WANG Manyu,People's Republic of China,Table Tennis
Silver Medal,2021-08-05,ISHIKAWA Kasumi,Japan,Table Tennis
Silver Medal,2021-08-05,HIRANO Miu,Japan,Table Tennis
Silver Medal,2021-08-05,ITO Mima,Japan,Table Tennis
Bronze Medal,2021-08-05,DOO Hoi Kem,"Hong Kong, China",Table Tennis
Bronze Medal,2021-08-05,LEE Ho Ching,"Hong Kong, China",Table Tennis
Bronze Medal,2021-08-05,SOO Wai Yam Minnie,"Hong Kong, China",Table Tennis
Gold Medal,2021-08-05,UGUEV Zavur,ROC,Wrestling
Silver Medal,2021-08-05,RAVI Kumar,India,Wrestling
Bronze Medal,2021-08-05,SANAYEV Nurislam,Kazakhstan,Wrestling
Bronze Medal,2021-08-05,GILMAN Thomas Patrick,United States of America,Wrestling
Gold Medal,2021-08-05,TAYLOR III David Morris,United States of America,Wrestling
Silver Medal,2021-08-05,YAZDANICHARATI Hassan,Islamic Republic of Iran,Wrestling
Bronze Medal,2021-08-05,AMINE Myles Nazem,San Marino,Wrestling
Bronze Medal,2021-08-05,NAIFONOV Artur,ROC,Wrestling
Gold Medal,2021-08-05,KAWAI Risako,Japan,Wrestling
Silver Medal,2021-08-05,KURACHKINA Iryna,Belarus,Wrestling
Bronze Medal,2021-08-05,NIKOLOVA Evelina Georgieva,Bulgaria,Wrestling
Bronze Medal,2021-08-05,MAROULIS Helen Louise,United States of America,Wrestling
Gold Medal,2021-08-06,JACOBS Lamont Marcell,Italy,Athletics
Gold Medal,2021-08-06,TORTU Filippo,Italy,Athletics
Gold Medal,2021-08-06,DESALU Eseosa Fostine,Italy,Athletics
Gold Medal,2021-08-06,PATTA Lorenzo,Italy,Athletics
Silver Medal,2021-08-06,MITCHELL-BLAKE Nethaneel,Great Britain,Athletics
Silver Medal,2021-08-06,KILTY Richard,Great Britain,Athletics
Silver Medal,2021-08-06,UJAH Chijindu,Great Britain,Athletics
Silver Medal,2021-08-06,HUGHES Zharnel,Great Britain,Athletics
Bronze Medal,2021-08-06,RODNEY Brendon,Canada,Athletics
Bronze Medal,2021-08-06,de GRASSE Andre,Canada,Athletics
Bronze Medal,2021-08-06,BLAKE Jerome,Canada,Athletics
Bronze Medal,2021-08-06,BROWN Aaron,Canada,Athletics
Gold Medal,2021-08-06,CHEPTEGEI Joshua,Uganda,Athletics
Silver Medal,2021-08-06,AHMED Mohammed,Canada,Athletics
Bronze Medal,2021-08-06,CHELIMO Paul,United States of America,Athletics
Gold Medal,2021-08-06,TOMALA Dawid,Poland,Athletics
Silver Medal,2021-08-06,HILBERT Jonathan,Germany,Athletics
Bronze Medal,2021-08-06,DUNFEE Evan,Canada,Athletics
Gold Medal,2021-08-06,KIPYEGON Faith,Kenya,Athletics
Silver Medal,2021-08-06,MUIR Laura,Great Britain,Athletics
Bronze Medal,2021-08-06,HASSAN Sifan,Netherlands,Athletics
Gold Medal,2021-08-06,PALMISANO Antonella,Italy,Athletics
Silver Medal,2021-08-06,ARENAS Sandra Lorena,Colombia,Athletics
Bronze Medal,2021-08-06,LIU Hong,People's Republic of China,Athletics
Gold Medal,2021-08-06,MORRISON Natasha,Jamaica,Athletics
Gold Medal,2021-08-06,BURCHELL Remona,Jamaica,Athletics
Gold Medal,2021-08-06,THOMPSON-HERAH Elaine,Jamaica,Athletics
Gold Medal,2021-08-06,WILLIAMS Briana,Jamaica,Athletics
Gold Medal,2021-08-06,JACKSON Shericka,Jamaica,Athletics
Gold Medal,2021-08-06,FRASER-PRYCE Shelly-Ann,Jamaica,Athletics
Silver Medal,2021-08-06,DANIELS Teahna,United States of America,Athletics
Silver Medal,2021-08-06,THOMAS Gabrielle,United States of America,Athletics
Silver Medal,2021-08-06,GARDNER English,United States of America,Athletics
Silver Medal,2021-08-06,OLIVER Javianne,United States of America,Athletics
Silver Medal,2021-08-06,PRANDINI Jenna,United States of America,Athletics
Silver Medal,2021-08-06,HOBBS Aleia,United States of America,Athletics
Bronze Medal,2021-08-06,LANSIQUOT Imani,Great Britain,Athletics
Bronze Medal,2021-08-06,NEITA Daryll,Great Britain,Athletics
Bronze Medal,2021-08-06,PHILIP Asha,Great Britain,Athletics
Bronze Medal,2021-08-06,ASHER-SMITH Dina,Great Britain,Athletics
Gold Medal,2021-08-06,MILLER-UIBO Shaunae,Bahamas,Athletics
Silver Medal,2021-08-06,PAULINO Marileidy,Dominican Republic,Athletics
Bronze Medal,2021-08-06,FELIX Allyson,United States of America,Athletics
Gold Medal,2021-08-06,LIU Shiying,People's Republic of China,Athletics
Silver Medal,2021-08-06,ANDREJCZYK Maria,Poland,Athletics
Bronze Medal,2021-08-06,BARBER Kelsey-Lee,Australia,Athletics
Gold Medal,2021-08-06,KLINEMAN Alix,United States of America,Beach Volleyball
Gold Medal,2021-08-06,ROSS April,United States of America,Beach Volleyball
Silver Medal,2021-08-06,CLANCY Taliqua,Australia,Beach Volleyball
Silver Medal,2021-08-06,ARTACHO del SOLAR Mariafe,Australia,Beach Volleyball
Bronze Medal,2021-08-06,HEIDRICH Joana,Switzerland,Beach Volleyball
Bronze Medal,2021-08-06,VERGE-DEPRE Anouk,Switzerland,Beach Volleyball
Gold Medal,2021-08-06,la CRUZ Julio,Cuba,Boxing
Silver Medal,2021-08-06,GADZHIMAGOMEDOV Muslim,ROC,Boxing
Bronze Medal,2021-08-06,GARSIDE Harry,Australia,Boxing
Bronze Medal,2021-08-06,BACHKOV Hovhannes,Armenia,Boxing
Bronze Medal,2021-08-06,FONTIJN Nouchka,Netherlands,Boxing
Bronze Medal,2021-08-06,MAGOMEDALIEVA Zenfira,ROC,Boxing
Gold Medal,2021-08-06,LAVREYSEN Harrie,Netherlands,Cycling Track
Silver Medal,2021-08-06,HOOGLAND Jeffrey,Netherlands,Cycling Track
Bronze Medal,2021-08-06,CARLIN Jack,Great Britain,Cycling Track
Gold Medal,2021-08-06,ARCHIBALD Katie,Great Britain,Cycling Track
Gold Medal,2021-08-06,KENNY Laura,Great Britain,Cycling Track
Silver Medal,2021-08-06,DIDERIKSEN Amalie,Denmark,Cycling Track
Silver Medal,2021-08-06,LETH Julie,Denmark,Cycling Track
Bronze Medal,2021-08-06,NOVOLODSKAIA Mariia,ROC,Cycling Track
Bronze Medal,2021-08-06,KHATUNTSEVA Gulnaz,ROC,Cycling Track
Gold Medal,2021-08-06,BECKIE Janine,Canada,Football
Gold Medal,2021-08-06,BUCHANAN Kadeisha,Canada,Football
Gold Medal,2021-08-06,CARLE Gabrielle,Canada,Football
Gold Medal,2021-08-06,CHAPMAN Allysha,Canada,Football
Gold Medal,2021-08-06,FLEMING Jessie,Canada,Football
Gold Medal,2021-08-06,GILLES Vanessa,Canada,Football
Gold Medal,2021-08-06,GROSSO Julia,Canada,Football
Gold Medal,2021-08-06,HUITEMA Jordyn,Canada,Football
Gold Medal,2021-08-06,LABBE Stephanie,Canada,Football
Gold Medal,2021-08-06,LAWRENCE Ashley,Canada,Football
Gold Medal,2021-08-06,LEON Adriana,Canada,Football
Gold Medal,2021-08-06,McLEOD Erin,Canada,Football
Gold Medal,2021-08-06,PRINCE Nichelle,Canada,Football
Gold Medal,2021-08-06,QUINN,Canada,Football
Gold Medal,2021-08-06,RIVIERE Jayde,Canada,Football
Gold Medal,2021-08-06,ROSE Deanne,Canada,Football
Gold Medal,2021-08-06,SCHMIDT Sophie,Canada,Football
Gold Medal,2021-08-06,SCOTT Desiree,Canada,Football
Gold Medal,2021-08-06,SHERIDAN Kailen,Canada,Football
Gold Medal,2021-08-06,SINCLAIR Christine,Canada,Football
Gold Medal,2021-08-06,VIENS Evelyne,Canada,Football
Gold Medal,2021-08-06,ZADORSKY Shelina,Canada,Football
Silver Medal,2021-08-06,ILESTEDT Amanda,Sweden,Football
Silver Medal,2021-08-06,ANVEGARD Anna,Sweden,Football
Silver Medal,2021-08-06,SEGER Caroline,Sweden,Football
Silver Medal,2021-08-06,KULLBERG Emma,Sweden,Football
Silver Medal,2021-08-06,ANGELDAL Filippa,Sweden,Football
Silver Medal,2021-08-06,ROLFO Fridolina,Sweden,Football
Silver Medal,2021-08-06,BENNISON Hanna,Sweden,Football
Silver Medal,2021-08-06,GLAS Hanna,Sweden,Football
Silver Medal,2021-08-06,LINDAHL Hedvig,Sweden,Football
Silver Medal,2021-08-06,FALK Jennifer,Sweden,Football
Silver Medal,2021-08-06,ANDERSSON Jonna,Sweden,Football
Silver Medal,2021-08-06,RODDAR Julia,Sweden,Football
Silver Medal,2021-08-06,ASLLANI Kosovare,Sweden,Football
Silver Medal,2021-08-06,HURTIG Lina,Sweden,Football
Silver Medal,2021-08-06,JANOGY Madelen,Sweden,Football
Silver Medal,2021-08-06,ERIKSSON Magdalena,Sweden,Football
Silver Medal,2021-08-06,BJORN Nathalie,Sweden,Football
Silver Medal,2021-08-06,SCHOUGH Olivia,Sweden,Football
Silver Medal,2021-08-06,BLOMQVIST Rebecka,Sweden,Football
Silver Medal,2021-08-06,JAKOBSSON Sofia,Sweden,Football
Silver Medal,2021-08-06,BLACKSTENIUS Stina,Sweden,Football
Silver Medal,2021-08-06,MUSOVIC Zecira,Sweden,Football
Bronze Medal,2021-08-06,MORGAN Alex,United States of America,Football
Bronze Medal,2021-08-06,DAHLKEMPER Abby,United States of America,Football
Bronze Medal,2021-08-06,FRANCH Adrianna,United States of America,Football
Bronze Medal,2021-08-06,NAEHER Alyssa,United States of America,Football
Bronze Medal,2021-08-06,CAMPBELL Jane,United States of America,Football
Bronze Medal,2021-08-06,LLOYD Carli,United States of America,Football
Bronze Medal,2021-08-06,MACARIO Catarina,United States of America,Football
Bronze Medal,2021-08-06,PRESS Christen,United States of America,Football
Bronze Medal,2021-08-06,KRUEGER Casey,United States of America,Football
Bronze Medal,2021-08-06,DUNN Crystal,United States of America,Football
Bronze Medal,2021-08-06,SONNETT Emily,United States of America,Football
Bronze Medal,2021-08-06,ERTZ Julie,United States of America,Football
Bronze Medal,2021-08-06,MEWIS Kristie,United States of America,Football
